Model,Accuracy,Macro F1,Precision,Recall
Lexicon (NRC),0.306717021850553,0.15158594481770005,0.20599683209446767,0.16048695784037148
EmoTFIDF + LR,0.4332344213649852,0.07556935817805382,0.05415430267062315,0.125
TF-IDF + LR,0.6487725923927704,0.5293861398302255,0.6221575308296227,0.4987338998913641
DistilBERT,0.7059616940922578,0.6606325892139058,0.6663379507163221,0.6662771778236628
Hybrid (concat + LR),0.6460749932560022,0.5948191090441595,0.595449587309148,0.5955942143179189
Hybrid (0.8 T + 0.2 E),0.7094685729700566,0.6586519411517306,0.6768527710821026,0.6542477820399601
